Kodiak,AK,PADQ,57.75,152.49,24,63733
Fairbanks,AK,PAFA,64.8,147.86,134,56985
Anchorage,AK,PANC,61.17,150.03,37,65992
Nome,AK,PAOM,64.51,165.44,12,62969
Birmingham,AL,KBHM,33.56,86.75,187,67111
Dothan,AL,KDHN,31.32,85.45,114,64997
Mobile,AL,KMOB,30.69,88.25,66,66397
Jonesboro,AR,KJBR,35.83,90.65,80,64217
Little Rock,AR,KLIT,34.73,92.24,79,66194
Monticello,AR,KLLQ,33.64,91.76,88,63876
Fayetteville,AR,KXNA,36.28,94.3,392,64316
Flagstaff,AZ,KFLG,35.14,111.67,2135,65387
Phoenix,AZ,KPHX,33.43,112,337,62336
Tucson,AZ,KTUS,32.13,110.96,777,62992
Blythe,CA,KBLH,33.62,114.71,120,63125
Fresno,CA,KFAT,36.78,119.72,101,62560
Los Angeles,CA,KLAX,33.94,118.39,30,64904
Sacramento,CA,KSAC,38.51,121.5,5,58348
Santa Barbara,CA,KSBA,34.42,119.84,3,66520
San Francisco,CA,KSFO,37.62,122.36,2,61925
Montague,CA,KSIY,41.78,122.47,808,60194
San Jose,CA,KSJC,37.36,121.92,16,66634
Denver,CO,KDEN,39.83,104.66,1650,64036
Grand Junction,CO,KGJT,39.13,108.54,1481,66689
Burlington,CO,KITR,39.24,102.28,1278,60262
Pueblo,CO,KPUB,38.29,104.5,1439,58304
Danbury,CT,KDXR,41.37,73.48,139,63559
Groton,CT,KGON,41.33,72.05,3,63701
Georgetown,DE,KGED,38.69,75.36,16,64599
Wilmington,DE,KILG,39.67,75.61,24,66614
Crestview,FL,KCEW,30.78,86.52,58,66101
Key West,FL,KEYW,24.56,81.75,1,65571
Gainesville,FL,KGNV,29.69,82.28,37,61878
Miami,FL,KMIA,25.79,80.32,9,58853
St. Petersburg,FL,KPIE,27.91,82.69,3,67292
Albany,GA,KABY,31.53,84.19,58,66055
Atlanta,GA,KATL,33.63,84.44,308,65299
Macon,GA,KMCN,32.68,83.65,105,65634
Honolulu,HI,PHNL,21.32,157.93,2,58325
Kahului,HI,PHOG,20.89,156.43,16,62885
Hilo,HI,PHTO,19.72,155.05,11,58767
